Uid,Date,Time,src_packet,src_port,dst_packet,dst_port,Description
ae9ce54d-c5ff-4dc0-9f73-ac11cb3e6da1,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https S
b4c941ba-6220-49cc-8df8-03468ffb45b1,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 SA
3cceecd7-11ca-463e-8a64-44048af7cd28,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https A
c507e19e-0aef-4068-aead-d4e123c382a3,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https PA / Raw
4779f6ca-7fce-4a9c-ae67-32dbefb4896b,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 A / Raw
b0c14e47-ef7c-4952-8aca-4c005e0237dd,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https A
fb986e58-b0e4-4420-990d-955d3842f069,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 A / Raw
92de7ba6-4546-4bf1-98b6-cdfac5e2c24c,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https A
2571ac27-f50a-481a-8101-93dddd4dc0f9,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 PA / Raw
9004ef00-4732-488c-b1b2-d73ec6ffabb8,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https A
97bd2850-8ae1-4138-b150-6b08c1a35cb8,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https PA / Raw
65381380-2de9-4062-a157-ecda0664caa7,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 PA / Raw
35ab1ad0-040b-4b17-bd54-05ca5df03a76,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https A
f7b49a3d-f354-43b9-bac7-87af9d4eafb7,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https PA / Raw
7fb05589-1009-4d53-9309-17b650e7a95b,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 A
f1f819a1-8e04-4af9-9e8a-8ed2a158da1c,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 FPA / Raw
5159c01f-db71-4bc3-99a7-c9255fb558fe,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https PA / Raw
4a860081-a69a-4b41-a2a4-eb485dc95d55,08-12-2019,12:36:46,192.168.1.91,37092.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37092 > 40.77.226.250:https FA
d33d7881-a249-4494-8ec1-18ed2e01696c,08-12-2019,12:36:46,40.77.226.250,443.0,192.168.1.91,37092.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37092 A
b7155728-2512-4060-9217-78762447cf70,08-12-2019,12:36:54,192.168.1.1,,224.0.0.1,,Ether /IP /UDP ??.??
dc1fdef8-6222-4a81-9127-44c9893a57a5,08-12-2019,12:36:54,192.168.1.91,,224.0.0.22,,Ether /IP /UDP ??.??
ce76cc49-7523-44b6-932a-607ab0ac8753,08-12-2019,12:37:01,192.168.1.91,,192.168.1.1,,Ether /IP /UDP ??.??
73b7eda6-c182-4955-81a2-28ab10da5aaf,08-12-2019,12:37:01,192.168.1.1,,192.168.1.91,,Ether /IP /UDP ??.??
318abde2-59f8-4537-96b6-7b356b7120d9,08-12-2019,12:37:01,192.168.1.91,37094.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37094 > 40.77.226.250:https S
cf593b7d-0609-4d65-9042-d22237e04c6a,08-12-2019,12:37:01,40.77.226.250,443.0,192.168.1.91,37094.0,Ether / IP / TCP 40.77.226.250:https > 192.168.1.91:37094 SA
06e25bf7-1476-4d8a-a5ee-2a91514f7f46,08-12-2019,12:37:01,192.168.1.91,37094.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37094 > 40.77.226.250:https A
1b7f6c7e-8b85-4d82-8f4e-e2c70a5849ca,08-12-2019,12:37:01,192.168.1.91,37094.0,40.77.226.250,443.0,Ether / IP / TCP 192.168.1.91:37094 > 40.77.226.250:https PA / Raw
